"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","slope","basin","Plate","Brachiopoda","Mollusca","Echinodermata"
"1",251.063333333333,2.6621,0.771133654957292,5.81516886509114,0.552642781954887,0.649350701754386,9.566,45,2.55000000000001,1,"Bodvaszilas Sandstone",2,0,2.22222222222222,97.7777777777778,0,0,0,0,308,1,11,0
"2",232.978,18.4715,0.928129414839945,16.6280895298227,0.96570973689309,0.978871839500078,285.146,125,10.25,23,"Cassian",5,28,0,17.6,21.6,28,0,4.8,307,76,763,90
"3",249.75,3.0345,0.828814445385787,5.33231586047249,0.639126023391813,0.741622969924812,10.774,37,0,1,"Csopak Marl",1,0,0,100,0,0,0,0,308,0,11,0
"4",251.572321428571,4.1414,0.908951645944024,12.1454187008417,0.840353240900374,0.899047973926658,37.88,56,2.55000000000001,3,"Daye",2,96.4285714285714,0,3.57142857142857,0,0,0,0,611,14,49,0
"5",251.8,4.1045,0.896605460742404,11.5557533784664,0.865559232894728,0.912876209684708,35.582,54,0,6,"Dinwoody",3,24.0740740740741,0,59.2592592592593,0,16.6666666666667,0,0,101,8,43,0
"6",251.8,4.8445,0.915158422008546,13.7916252893314,0.90471525048893,0.942619072248789,52.832,51,0,10,"Feixianguan",4,50.9803921568627,0,31.3725490196078,0,9.80392156862745,0,7.84313725490196,611,12,79,0
"7",244.6,8.2085,0.816415833826691,8.64080005420919,0.759122404991626,0.836932348693762,62.482,34,0,5,"Felsõörs",5,2.94117647058824,0,23.5294117647059,0,11.7647058823529,55.8823529411765,5.88235294117647,308,44,41,0
"8",228.253968253968,3.0926,0.795399758757523,5.99045174438922,0.646921446740394,0.74801757385889,12.386,63,6.25,2,"Luning",2,0,0,1.58730158730159,0,0,0,98.4126984126984,101,5,12,1
"9",249.25,7.0636,0.897432377260806,11.3540084947045,0.895284869409342,0.934212209344981,68.112,103,0,9,"Moenkopi",4,80.5825242718447,2.9126213592233,15.5339805825243,0.970873786407767,0,0,0,101,11,130,6
"10",244.54696969697,26.531,0.775601245942798,7.66029583023796,0.875639901530353,0.919912474635692,188.552,66,3.5,8,"Qingyan",3,59.0909090909091,0,37.8787878787879,3.03030303030303,0,0,0,611,33,237,18
"11",249.25,2.9509,0.845986756632396,7.17850171183264,0.695890626566416,0.780207268170426,13.954,25,0,1,"Szin Marl",2,0,0,88,0,12,0,0,308,1,13,1
"12",249.261627906977,3.7571,0.912936437191931,13.6000169903112,0.89644453612435,0.927097664513849,37.18,43,0.5,13,"Thaynes",3,44.1860465116279,0,32.5581395348837,0,23.2558139534884,0,0,101,12,45,2
"13",243.598684210526,3.5773,0.927277928208266,15.7189690738259,0.906259990097622,0.938415892528524,40.228,38,10.75,3,"Ulakhan-Krest",1,100,0,0,0,0,0,0,401,7,53,0
"14",250.919934640523,4.1969,0.901861878837692,12.1261666429933,0.864422675330816,0.908841662901445,38.44,153,2.55000000000001,12,"Werfen",4,23.5294117647059,1.96078431372549,33.9869281045752,0,40.5228758169935,0,0,307,3,87,2
"15",251.8,2.6784,0.867894896095198,10.7715685777511,0.661832687079003,0.747412182174551,18.094,78,0,4,"Wordie Creek",3,87.1794871794872,0,1.28205128205128,0,11.5384615384615,0,0,102,2,36,0
