"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","deep subtidal","basin","Plate","Echinodermata","Brachiopoda","Mollusca"
"1",92.7384615384615,5.6241,0.891764557892804,13.2416808063034,0.931838118021651,0.958317399679271,60.214,39,5.2,6,"Abu Qada",2,2.56410256410256,0,97.4358974358974,0,0,715,17,0,70
"2",98.4768518518518,5.0732,0.803148878193017,6.1534677545035,0.649561969644336,0.754278435950015,25.006,27,30.725,3,"Budden Canyon",2,88.8888888888889,0,0,11.1111111111111,0,130,0,0,29
"3",92.7359223300971,3.2605,0.949606606404289,19.679151873279,0.943089891139168,0.961798157962816,44.026,103,8,5,"Cotinguiba",2,0.970873786407767,0,99.0291262135922,0,0,201,20,0,94
"4",97.2538461538462,6.8825,0.879476834087803,13.0115923963706,0.881970714422556,0.924124039822975,75.564,65,5.5,4,"Galala",2,4.61538461538462,0,95.3846153846154,0,0,508,24,0,112
"5",95.6723404255319,2.5599,0.883846800792439,12.5670663785064,0.797870952380952,0.858064427736007,19.456,47,5.2,4,"Greenhorn",3,63.8297872340426,0,0,8.51063829787234,27.6595744680851,101,1,1,28
"6",109.708846153846,5.1605,0.903964469578356,15.1100754167829,0.92830256582886,0.955393586884961,61.44,52,21.455,1,"Gres verts helvetiques",3,59.6153846153846,0,9.61538461538462,30.7692307692308,0,305,22,11,76
"7",105.09,2.4009,0.949601596135441,20.6096647177973,0.939787368421053,0.954451152882206,28.72,30,8.3,1,"Hilo",1,0,0,0,0,100,201,0,0,35
"8",117.600657894737,9.6285,0.886803088383236,10.8485498747318,0.863646259553732,0.917690248611086,93.232,38,3.295,4,"Hiraiga",2,76.3157894736842,0,23.6842105263158,0,0,610,1,0,132
"9",106.15,5.8862,0.870559136580889,8.48946094536431,0.815990734854731,0.886535088185534,40.946,71,0,1,"Kiowa",2,0,0,73.2394366197183,26.7605633802817,0,101,0,2,59
"10",116.19525862069,11.4692,0.938205121809885,15.4232177234572,0.952552522748889,0.97334785162886,160.912,58,12.875,2,"Lower Greensand",2,96.551724137931,0,3.44827586206897,0,0,305,37,73,224
"11",94.429347826087,5.4582,0.919615356616984,13.742809093531,0.906399110449536,0.937695804614691,60.59,92,5.2,11,"Mancos Shale",4,63.0434782608696,2.17391304347826,1.08695652173913,0,33.695652173913,101,2,2,149
"12",97,7.6077,0.790252144367882,5.04724843477813,0.564056493452699,0.702257775328251,33.314,31,0,2,"Tropic Shale",2,93.5483870967742,0,0,0,6.45161290322581,101,0,0,39
"13",91.8,4.7418,0.904080385048858,12.4111221839536,0.880116011968225,0.926148770324103,46.312,26,0,4,"Wata",2,3.84615384615385,0,96.1538461538462,0,0,508,15,0,38
"14",97,8.8275,0.904658407853148,12.424583987673,0.90484932989513,0.944388188017824,95.982,142,0,1,"Woodbine",1,100,0,0,0,0,101,0,1,218
